血液ガス分析の正常値はPaO2が{{c1::80}}～{{c1::100}}Torr，PaCO2が{{c1::40}}±{{c1::5}}Torr．	
医療安全支援センターは{{c1::医療}}法に基づく．	
監察医制度は{{c1::死体解剖保存}}法に規定され，{{c1::知事}}が任命し，地域の行政解剖を行う．	
日本は他国と比べて平均在院日数が{{c1::長}}い	
鉄芽球性貧血の鉄動態 血清鉄{{c1::↑}}、フェリチン{{c1::↑}}、TIBC{{c1::↓}}	骨髄で鉄がうまく使えず、まず血清鉄があふれる。それにより貯蔵鉄が増えるためフェリチンが上がる。フェリチンが上がると、肝臓がトランスフェリンを作らなくなるため、TIBCが下がる。
脂質異常症のスクリーニングのための診断基準 LDL ≥ {{c1::140}}mg/dL HDL < {{c1::40}}mg/dL トリグリセリド ≥ {{c1::150}}mg/dL Non-HDL ≥ {{c1::170}}mg/dL	
所見を述べよ	中心部に乾酪壊死があり、それを類上皮細胞とLanghans型巨細胞（矢印）が取り囲んで肉芽腫を形成している。
{{c1::Gaucher}}病は{{c2::スフィンゴリピドーシス}}の1つであり，グルコセレブロシダーゼの活性低下により，{{c2::糖脂質}}（グルコセレブロシド）が組織に蓄積する．	
{{c1::von Gierke}}病は{{c2::糖原病Ⅰ型}}のことである．{{c2::グルコース-6-ホスファターゼ}}の欠損により{{c2::糖新生}}ができず，肝臓・腎臓までの組織に{{c2::グリコーゲン}}が蓄積する．	
Hurler症候群は{{c1::ムコ多糖}}症の1つで，{{c1::ムコ多糖}}の分解に関与する酵素の活性低下により{{c1::ムコ多糖}}が組織に蓄積する．	
{{c2::メープルシロップ尿}}症では{{c1::分枝鎖α-ケト酸脱水素酵素}}の欠損により，{{c1::ロイシン}}，{{c1::イソロイシン}}，{{c1::バリン}}の代謝ができず，体内に蓄積する．	分枝鎖α-ケト酸脱水素酵素（BCKDH）
オルニチントランスカルバミラーゼ（OTC）欠損症では，OTCに関する遺伝子異常により酵素活性が低下し，{{c1::アンモニア}}の変換が阻害され{{c1::高アンモニア}}血症をきたす．	
リピドーシスの遺伝形式 Gaucher病: {{c1::AR}} Niemann-Pick病: {{c1::AR}} Tay-Sachs病: {{c1::AR}} Fabry病: {{c1::XR}}	
Fabry病の遺伝形式は{{c1::XR}}であるが、{{c1::lyon}}仮説によりかなりの頻度で女性でも症状が出現する。	
{{c1::腫瘍崩壊症候群}}は、{{c2::化学療法}}の開始などにより，大量の腫瘍細胞が崩壊，細胞内成分が流出し，高{{c2::K}}血症，高{{c2::P}}血症，低{{c2::Ca}}血症，高{{c2::尿酸}}血症を来す．	
腫瘍崩壊症候群は、電解質異常による{{c1::不整脈}}や高{{c1::尿酸}}血症による{{c1::急性尿酸性腎症}}により致死的になりうる．	
腸管出血性大腸菌感染症は{{c1::3}}類感染症である。	
入院勧告の対象となるのは{{c1::1}}類・{{c1::2}}類感染症と{{c1::新型インフルエンザ}}等感染症である	
3類感染症の届出は，診断した医師が診断後{{c1::直ち}}に{{c1::最寄りの保健所}}に届け出る．	
公費負担の対象になるのは{{c1::1}}類・{{c1::2}}類感染症と{{c1::新型インフルエンザ}}等感染症である．	
『{{c2::学校保健安全}}法』では第{{c1::1}}〜{{c1::3}}種の感染症について「学校において予防すべき感染症」としており，第19条で「校長は，感染症にかかっており，かかっている疑いがあり，またはかかるおそれのある児童生徒等があるときは，政令で定めるところにより，出席を停止させることができる．」とされている．	
前立腺肥大症の手術療法は，{{c1::経尿道的前立腺切除}}術（{{c1::TUR-P}}）が標準治療であるが，最近は出血が少ない{{c1::経尿道的レーザー前立腺切除}}術が普及してきている．	Transurethral resection of the prostate
前立腺癌において、脊髄圧迫による脊髄横断症状を伴う骨転移にはホルモン療法のほかに{{c1::ステロイド}}投与，{{c1::放射線照射}}などの緊急対応が必要となる．	
橋本脳症は近年提唱された疾患概念であり，{{c1::自己免疫}}機序に基づく，すなわち{{c1::甲状腺機能低下}}症によらない急性脳症と考えられている．{{c1::ステロイド}}が奏効する	
{{c2::粘液水腫}}性昏睡は高度の{{c1::甲状腺機能低下}}症の状態に{{c1::感染}}症，{{c1::外傷}}，{{c1::寒冷}}曝露，{{c1::呼吸抑制}}作用のある薬物の投与などの誘因が加わって，{{c1::低}}体温・{{c1::呼吸}}不全・{{c1::循環}}不全および{{c1::中枢神経}}系機能障害をきたす病態である．	
粘液水腫性昏睡は{{c1::甲状腺ホルモン}}の補充で改善する	
{{c1::淋}}菌、{{c1::髄膜炎}}菌、{{c1::赤痢アメーバ}}は低温に弱い	
子宮体癌のリスクファクター ①{{c1::肥満}} ②{{c1::不妊}}・{{c1::未経産 }} ③{{c1::エストロゲン}}製剤の服用 ④{{c1::エストロゲン産生}}腫瘍 ⑤{{c1::卵巣}}機能異常（{{c1::無排卵周期}}症，{{c1::PCOS}}） など	
{{c2::臍帯ヘルニア}}は腹部臓器の脱出により，低{{c1::体温}}・{{c1::脱水}}・{{c1::感染}}の危険性が高い．また合併奇形の頻度が高い({{c1::胸骨}}形成不全，{{c1::横隔膜}}欠損，{{c1::心膜}}欠損，{{c1::心}}奇形)。 治療は{{c1::緊急手術}}が原則である．	
乳び胸は{{c1::胸管}}の損傷，閉塞により脂肪（特に{{c1::カイロミクロン}}）を含む乳び状の{{c1::リンパ液}}が胸腔内に漏出し，貯留した状態である。治療は、{{c1::胸腔ドレナージ}}、{{c1::脂肪制限}}食または{{c1::絶食}}+{{c1::中心静脈栄養}}、{{c1::胸管結紮}}術	
産科的危機的出血に対してはまず{{c1::赤血球}}と{{c1::新鮮凍結血漿}}を1:1で輸血する。これで止まらない場合は、{{c1::血小板}}輸血、{{c1::抗DIC}}製剤、{{c1::出血原因}}の除去，{{c1::動脈結紮}}術・{{c1::動脈塞栓}}術・子宮{{c1::摘出}}などが考慮される。	
拮抗薬・解毒薬 ヘパリン: {{c1::プロタミン}} ワーファリン: {{c1::ビタミンK}}、新鮮凍結血漿、凝固因子抗体迂回活性複合体製剤 ロクロニウムとか: {{c1::コリンエステラーゼ阻害}}薬 アセトアミノフェン: {{c1::N-アセチルシステイン}} 麻薬: {{c1::ナロキソン}} ベンゾ: {{c1::フルマゼニル}}	
脳死と類似した状態になりうる症例（脳死の除外基準） (1){{c1::急性薬物中毒}} (2){{c1::代謝・内分泌}}障害 2-1 {{c1::肝性昏睡}} 2-2 {{c1::糖尿病性昏睡}} 2-3 {{c1::尿毒症性脳症}} 2-4 その他	
脳死の除外基準（薬物中毒、代謝・内分泌障害を除く） ・{{c1::知的障害}}者等の{{c1::意思表示}}困難者 ・被虐待児 ・年齢不相応の{{c1::低血圧}} ・{{c1::低体温}} ・生後{{c1::12週}}未満	
肺挫傷による呼吸困難に対しては{{c1::気管内挿管}}による{{c1::陽圧換気}}で管理を行う．	
陰嚢の透光性を認められるのは，{{c1::陰囊水腫}}である	
精巣腫瘍のマーカー セミノーマ: {{c1::LDH}}上昇、稀に{{c1::hGC}}が上昇非セミノーマではマーカーとして{{c1::AFP}}や{{c1::hCG}}が上昇しやすい。 以下非セミノーマ各論（空欄に0, 1, 2個のマーカーが入る） ・胎児性癌: {{c1::AFP, hCG}} ・卵黄嚢腫瘍: {{c1::AFP}} ・絨毛癌: {{c1::hCG}} ・奇形腫: {{c1::特になし}}	
{{c1::全身}}型JIAは{{c2::成人Still病}}に類似する。 {{c1::多関節}}型JIAは{{c2::関節リウマチ}}に類似する。	
{{c2::MMP-3}}は{{c1::軟骨}}破壊など{{c1::関節}}病変に深く関わる蛋白融解酵素である。{{c1::関節リウマチ}}の{{c1::活動}}性評価に用いられる。	
Monteggia骨折とは{{c1::尺}}骨{{c1::骨幹}}部骨折と{{c1::橈骨頭脱臼}}合併のことである。	
小児症例。診断は？	上腕骨顆上骨折
小児症例。所見or診断を二つ。	上腕骨外側顆骨折 肘関節脱臼
腎血管性高血圧は腎動脈の{{c1::狭窄}}化などで腎血流量が低下したために、腎の傍糸球体装置からの{{c1::レニン}}分泌が{{c1::高}}値となり，高血圧を来したもの．	
腎血管性高血圧の原因は、中高年では{{c1::粥状動脈硬化}}症が最も多い。若年・中年発症の場合、{{c1::繊維筋性異形成}}や{{c1::大動脈炎}}症候群などが多い。	
腎血管性高血圧に対する降圧薬について、{{c1::腎機能}}低下例、{{c1::両側腎動脈狭窄}}例、{{c1::単腎}}例には、{{c1::RA系阻害}}薬(降圧薬のサブタイプ)は原則禁忌である。	
腎動脈性高血圧について、その原因が線維筋性異形成の場合は{{c1::経皮的腎動脈形成術}}（{{c1::PTRA}}）が第一選択となる	percutaneous transluminal renal angioplasty
{{c1::肺塞栓}}の心電図ではSIQIIITIII(Iで深いS、IIIで異常Q波とT波の逆転)パターンを認めることがある。	
肺血栓塞栓症の重症度は，{{c1::血行動態}}所見と{{c1::心エコー}}所見で分類される．	
食事由来の脂質は小腸で吸収され，{{c1::カイロミクロン}}となる。よって食後高脂血症の主要原因は{{c1::カイロミクロン}}の増加である．	
原発性アルドステロン症は、副腎皮質{{c1::球}}状層由来の{{c1::腺腫}}または{{c1::過形成}}によりアルドステロンが過剰に分泌され，腎尿細管に作用して，Na蓄積，K喪失を来し，高血圧，低K血症，筋力低下，テタニーなどの症状を呈する疾患である。治療は{{c1::腹腔鏡下副腎摘出術}}である。	
{{c1::未熟児無呼吸発作}}は，在胎{{c2::35}}週未満の児で認められる{{c2::呼吸中枢}}の{{c2::未熟}}性による無呼吸を指す．	
副腎皮質の層と代表的なホルモン {{c1::球}}状層: {{c1::アルドステロン}} {{c1::束}}状層: {{c1::コルチゾール}} {{c1::網}}状層: {{c1::アンドロゲン}}	
低酸素症とは{{c1::組織}}が低酸素状態におかれていることを意味し，通常，{{c1::組織低酸素}}といわれる。動脈血中の酸素含量が減少している状態を指す{{c1::低酸素血症}}と混同しないよう注意する必要がある	tissue hypoxia hypoxemia
オピオイドはオピオイド受容体のアゴニストとして作用し，μ1受容体は{{c1::鎮痛}}作用，μ2受容体は{{c1::腸管蠕動運動の抑制}}，{{c1::呼吸抑制}}，{{c1::縮瞳}}といった作用がある。	
急性腎障害に対する腎代替療法の絶対的適応 （1）治療抵抗性の{{c1::体液過剰}} （2）急激な{{c1::高カリウム血症}} （3）重症の{{c1::代謝性アシドーシス}} （4）{{c1::尿毒症}}症状	
{{c2::自己免疫性視床下部下垂体炎}}は主に{{c1::リンパ}}球が視床下部，下垂体に浸潤することで生じる慢性炎症性疾患である。他の自己免疫疾患との合併例もあり，自己免疫性の機序が推定される．なお、{{c1::免疫チェックポイント阻害}}薬の使用中に発症することがある．	
採血を避ける場所として ・{{c1::乳房切除}}を受けた側の腕 ・{{c1::炎症}}や{{c1::感染}}のある部位 ・{{c1::透析シャント}}部位 ・{{c1::輸液}}使用時の中枢側 を押さえておく．	
伝染性単核球症において、{{c1::EBNA}}抗体は回復期に出現し，終生存続する。急性期には{{c1::VCA-IgM}}抗体が一過性に出現し，{{c1::VCA-IgG}}抗体も上昇する	
{{c1::1962}}年（昭和{{c1::37}}年）4月2日～{{c1::1979}}年（昭和{{c1::54}}年）4月1日以前生まれの男性は定期接種制度が行われておらず，風疹の免疫がない人が最も多い世代に該当する．	
インフルエンザ出席停止期間は？	発症後5日経過し、かつ解熱後2日（幼児は3日）経過するまで。
百日咳の出席停止期間は？	特有の咳が消失、または5日間の抗菌性物質製剤による治療終了まで
麻疹の出席停止期間は？	解熱後3日経過するまで
流行性耳下腺炎の出席停止期間は？	腫脹の発現後5日を経過し、かつ全身状態が良好になるまで
風疹の出席停止期間は？	発疹が消失するまで
水痘の出席停止期間は？	全ての発疹が痂皮化するまで
咽頭結膜熱の出席停止期間は？	主要症状消退後2日経過するまで
{{c1::1}}～{{c1::4}}類感染症はすべて{{c1::全数}}把握であり，{{c1::5}}類感染症のみ全数把握と定点把握に分かれる．	
男性の放射線業務従事者の受ける実効線量は，{{c1::1}}年間につき{{c1::50}}mSvを超えない，かつ{{c1::5}}年間につき{{c1::100}}mSvを超えないようにしなければならない．	
一般公衆の線量限度は年間{{c1::1mSv}}である	
{{c2::骨髄異形成症候群}}の予後因子には， ・{{c1::染色体異常}}（{{c1::核型}}） ・{{c1::骨髄の芽球比率}} ・{{c1::血球減少}}（{{c1::ヘモグロビン濃度}}，{{c1::白血球数}}，{{c1::血小板数}}） がある	
{{c2::悪性リンパ腫}}の予後因子は， ①{{c1::年齢＞60歳以上}} ②{{c1::血清LD＞正常上限}} ③{{c1::Performance status：2～4}} ④{{c1::臨床病期：Ⅲ，Ⅳ期}} ⑤{{c1::節外病変数≧2}} である	
急性中耳炎の3大起因菌は{{c1::肺炎球菌}}，{{c1::インフルエンザ菌}}，{{c1::モラクセラ・カタラーリス}}である．	
Cushing症候群の診断は ・{{c1::血中コルチゾール}}高値 ・{{c1::コルチゾール日内変動消失}} ・{{c1::尿中遊離コルチゾール上昇}} などの所見に加え、{{c1::低容量デキサメタゾン}}試験で{{c1::コルチゾールが抑制されない}}ことを証明する。	
下垂体腺腫によるCushing症候群（Cushing病）では、ACTH/コルチゾール分泌は{{c1::高用量デキサメタゾン負荷試験}}で抑制され，{{c1::CRH}}試験では上昇反応を示す．一方，副腎腫瘍によるCushing症候群や異所性ACTH産生腫瘍では，どの薬剤でもACTH/コルチゾール分泌は{{c1::変化しない}}．よって両試験はCushing症候群の病因診断に有用．	Cushing病は自律性が弱め
SLEの診断基準① {{c1::顔面紅斑}} ② {{c1::円板状皮疹}} ③ {{c1::光線過敏}}症 ④ {{c1::口腔内潰瘍}} ⑤ {{c1::関節}}炎 ⑥ {{c1::漿膜}}炎 （{{c1::胸膜}}炎あるいは{{c1::心膜}}炎） ⑦ {{c1::腎}}病変 ⑧ {{c1::神経学的}}病変 ⑨ {{c1::血液学的}}異常 ⑩ {{c1::免疫学的}}異常 ⑪ {{c1::抗核抗体}}陽性 ［診断のカテゴリー］ 上記項目のうち４項目以上を満たす場合、 全身性エリテマトーデスと診断する。	3. 無痛性で口腔あるいは鼻咽腔に出現 5. ２関節以上で非破壊性 8. 痙攣発作あるいは精神障害 7. 0.5g／日以上の持続的蛋白尿か細胞性円柱の出現 9. 溶血性貧血、4,000／mm3以下の白血球減少、1,500／mm3以下のリンパ球減少又は10万／mm3以下の血小板減少 10. 抗２本鎖 DNA 抗体陽性、抗 Sm 抗体陽性又は抗リン脂質抗体陽性（抗カルジオリピン抗体、ループスアンチコアグラント、梅毒反応偽陽性
胆石の治療まとめ 胆嚢結石: a. 無症状: {{c1::経過観察}} b. 有症状: {{c1::腹腔鏡下胆嚢摘出術}}(第一選択) 総胆管結石: 内視鏡的{{c1::除石}}術 + 内視鏡的{{c1::乳頭括約筋切開}}術(第一選択) or 内視鏡的{{c1::乳頭バルーン拡張}}術 肝内胆石: a. 無症状: 肝萎縮や急性所見がなければ経過観察 b. 有症状: {{c1::肝切除}}術、内視鏡的{{c1::胆石摘出}}術	
生ワクチン 0歳定期 ・{{c1::BCG}} 0歳任意 ・{{c1::ロタ}} ・{{c1::ムンプス}} 1歳定期 ・{{c1::麻疹}} ・{{c1::風疹}} ・{{c1::水痘}} その他 ・{{c1::黄熱}}	
ランダム化比較試験の解析方法として，主にintention to treat<ITT>（{{c1::割り付け}}重視の分析）とper protocol<PP>（{{c1::プロトコール}}重視の分析）が用いられる	
無痛性甲状腺炎は、破壊性甲状腺炎の一型と考えられている．主に{{c1::橋本}}病の経過中，濾胞の崩壊が生じ，その結果甲状腺ホルモンが血中に流出し，一過性に甲状腺中毒症を呈するもの．	
Basedow病とは、{{c1::TSHR}}に対する{{c1::自己抗体}}によって甲状腺が持続的に刺激されることで，甲状腺ホルモン産生過剰による甲状腺中毒症が発生する疾患である．	TSH Receptor
心房細動における{{c1::抗凝固療法}}適応の基準（{{c2::CHADS2}}スコア） ・{{c2::Congestive heart failure}}（{{c2::うっ血性心不全}}） ・{{c2::Hypertension}}（{{c2::高血圧}}） ・{{c2::Age}}（{{c2::75歳以上}}） ・{{c2::Diabetes Mellitus}}（{{c2::糖尿病}}） ・{{c2::Stroke/TIA}}（{{c2::脳梗塞またはTIAの既往}}） 1点と2点以上で薬が違う	Sのみ2点。
所見と診断を述べよ	RR間隔不整 I誘導でのp波の消失 V1誘導などで基線の細かな揺れ(f波) 診断: AF
AFの治療 A. {{c1::血栓塞栓症}}の予防 B. {{c1::除細動}} 1. {{c1::カルディオバージョン}} 2. {{c1::抗不整脈薬Ia群}} ※ただし、発作持続時間が48時間以上の場合は、{{c1::抗凝固療法}}を先に行う必要がある。 C. {{c1::再発}}予防 1. リズムコントロール ・{{c1::Naチャネル}}遮断薬 2. レートコントロール ・{{c1::β遮断}}薬 ・{{c1::Ca拮抗}}薬（{{c1::ベラパミル}}） ・{{c1::ジギタリス}} 3. {{c1::カテーテルアブレーション}}	
扁桃周囲膿瘍は{{c1::急性扁桃炎}}に続発し、{{c1::膿瘍形成}}まできたしたものである。口蓋垂の{{c1::健側偏位}}、{{c1::開口}}障害、激しい{{c1::嚥下時痛}}をきたす。治療は{{c1::抗菌薬}}に加え、{{c1::穿刺・切開排膿}}を行う。	
爪下線状出血は{{c1::感染性心内膜炎}}，{{c1::敗血症}}，{{c1::抗リン脂質抗体症候群}}などで認められる．	
所見と診断を述べよ	小脳扁桃が脊柱管内に下垂している Chiari奇形I型
百日咳の治療には、{{c1::マクロライド}}系や{{c1::テトラサイクリン}}系抗菌薬が有効である．	
筋電図において、神経原性障害では収縮時に電位が{{c1::高}}くなり，持続時間は{{c1::長}}くなる。	
表面筋電図は{{c1::不随意運動}}の鑑別に用いる。	
前庭神経炎は前庭神経に限局した神経炎で，以下のような特徴がある． ①先行して{{c1::感冒}}など{{c1::上気道炎}}の既往がある ②{{c1::蝸牛症状}}を随伴しない ③{{c1::特定の頭位で誘発されるような眼振はない}} ④温度眼振検査は{{c1::患}}側の反応{{c1::低下}}あるいは{{c1::無反応}}であることが多い めまいの持続時間は比較的{{c1::長}}く，数日から数{{c1::ヵ月}}続くことがある．	
マタニティ・ブルーズは，産褥{{c1::3}}〜{{c1::10}}日の間に生じる一過性の情動不安定な状態である．主症状は軽度の抑うつ感，{{c1::涙もろさ}}，不安感あるいは集中力低下などで，特に{{c1::涙もろい}}ことが最も重要な症状である．産後うつは産後{{c1::2〜3週間}}以降に発症する。	
3ヵ月時{{c1::60}}cm・{{c1::6}}kg	
1歳時{{c1::75}}cm・{{c1::9}}kg	
3歳時{{c1::94}}cm・{{c1::14}}kg	
市町村保健センターは『{{c1::地域保健}}法』に基づいて設置される．	
保健所は『{{c1::地域保健}}法』に基づいて設置される．	
保健所の所長は医師である必要が{{c1::ある}}。	
市町村保健センターの所長は医師である必要が{{c1::ない}}。	
鉛中毒の三主徴は ①{{c1::小球性低色素性貧血}} ②{{c1::腹部疝痛}} ③{{c1::神経}}症状（{{c1::橈骨神経麻痺}}，{{c1::鉛脳症}}）である．	
{{c2::鉛}}中毒では{{c1::δ-アミノレブリン酸脱水酵素}}が障害され，{{c1::尿}}中{{c1::δ-アミノレブリン酸}}が増加する．	
メトヘモグロビン血症は遺伝性と後天性がある。 遺伝性の遺伝形式は{{c1::AR}}. 後天性では、{{c1::芳香属アミノ・ニトロ化合物}}が原因となる。 所見としては{{c1::チアノーゼ}}と{{c1::赤血球増加}}がみられる。 そのほかの症状として、{{c1::頭痛}}、呼吸困難、めまい、{{c1::意識}}障害などがある。 治療は{{c1::メチレンブルー}}投与である。	
{{c2::β1遮断}}薬の禁忌 ・{{c1::房室ブロック}} ・重症{{c1::糖尿病}}	
{{c2::β2遮断}}薬の禁忌 ・{{c1::気管支喘息}} ・{{c1::異型狭心症}} ・{{c1::Raynaud}}症候群 ・慢性{{c1::動脈閉塞}}症	
ジギタリスの禁忌 ・{{c1::WPW症候群}}に伴う{{c1::AF}} ・{{c1::低K}}血症 ・{{c1::徐}}脈 ・ジギタリス中毒 ・{{c1::VT}} ・{{c1::HOCM}} ・{{c1::TOF}} ・{{c1::房室ブロック}}	
異型狭心症のトリガーは{{c1::副交感神経}}刺激である。	
IgA血管炎では第{{c1::XIII}}因子が低下することがある。	
IgA血管炎は、全身性アレルギー性血管炎により{{c1::毛細血管}}の{{c1::透過性}}が亢進して，{{c1::浮腫}}や組織への出血を来す疾患．	
第ⅩⅢ因子が低下する疾患 ①{{c1::先天性第ⅩⅢ因子欠損症}} ②{{c1::術後縫合不全・瘻孔}} ③{{c1::IgA血管炎}} ④{{c1::潰瘍性大腸炎}} ⑤{{c1::第ⅩⅢ因子インヒビター}}投与	5では、第ⅩⅢ因子に対する抗体が出現するためである
続発性腎性尿崩症の原因 ・腎疾患（水腎症、多嚢胞腎、アミロイドーシス、慢性腎盂腎炎） ・{{c1::低K血症}} ・{{c1::高Ca血症}} ・薬剤（{{c1::炭酸リチウム}}、{{c1::アムホテリシンB}}）	
非定型肺炎といえば、{{c1::マイコプラズマ}}・{{c1::レジオネラ}}・{{c1::Chlamydophila psittaci}}。 抗菌薬は{{c1::マクロライド}}系薬や{{c1::テトラサイクリン}}系薬，{{c1::ニューキノロン}}系薬が有効である．	Chlamydophila psittaciはオウム病の原因である。
肺炎の患者には{{c1::肺炎球菌}}と{{c1::レジオネラ}}の{{c2::尿}}中抗原を測定する。	
レジオネラは{{c1::ヒメネス}}染色	
マイコプラズマ肺炎は{{c1::若年}}者に多く、症状として{{c1::高熱}}と頑固な{{c1::乾性咳嗽}}を呈する。身体所見として、X線所見の割には{{c1::聴診}}所見に乏しく、検査所見としても{{c1::炎症}}所見が派手ではない。その他検査上の特徴として、{{c1::寒冷凝集素}}が陽性となる。診断は{{c1::咽頭ぬぐい液迅速検査}}や{{c1::血清抗体価}}などで行う。	
抗ミトコンドリア抗体って何の病気	PBC 原発性胆汁性胆管炎
若い人の大動脈瘤 原因３つ	大動脈炎症候群(高安病)、3期梅毒、marfan
メタボの基準	必須：ウエスト男性85女性90 以下2つ以上 BP > 130/ BP > /85 >血糖 110 >TG 150 <HDL 40
顕微鏡的多発血管炎: {{c1::P}}({{c1::MPO}})-ANCA	
好酸球性多発血管炎性肉芽腫症: {{c1::P}}({{c1::MPO}})-ANCA	
多発血管炎性肉芽腫症: {{c1::C}}({{c1::PR3}})-ANCA	
ANCA関連血管炎の各疾患の特徴 顕微鏡的多発血管炎 ・{{c1::間質性肺炎}} ・{{c1::肺胞出血}} ・{{c1::半月体形成性糸球体腎炎}} 好酸球性多発血管炎性肉芽腫症 ・{{c1::気管支喘息の先行}}がほぼ必発 ・{{c1::好酸球}}↑、{{c1::IgE}}↑ 多発血管炎性肉芽腫症 ・{{c1::副鼻腔}}炎、{{c1::鞍鼻}}、{{c1::中耳}}炎、{{c1::眼球}}突出 ・{{c1::肺}}に空洞を伴う{{c1::結節}}性病変を認める、咳嗽、{{c1::血痰}} ・{{c1::半月体形成性糸球体腎炎}}	顕微鏡性多発血管炎と多発血管炎性肉芽腫症はどちらも肺、腎病変を呈する。腎病変は共通で、肺病変は前者が間質性肺炎・肺胞出血、後者が結節性病変である。また後者は耳鼻眼にも病変がある。
ITPでは骨髄で{{c1::巨核}}球が増加することがある。	骨髄塗抹標本にて，他の血球に比し著しく大きく，核が脳回状を呈した血球が2つみられる．これは巨核球である．（＊）
{{c2::Leydig}}細胞は{{c1::LH}}により刺激され，{{c1::テストステロン}}を中心とした男性ホルモンを分泌する．	
セルトリ細胞の機能は脳下垂体から分泌される{{c1::FSH}}や精巣内のLeydig（ライディッヒ）細胞から分泌される{{c1::テストステロン}}によって制御されている。	
該当する精神科用語は？ 周りがいつもと違い，何か不気味で大変なことが起こりそうだという不安に襲われる状態．	妄想気分（一次妄想）
該当する精神科用語は？実際に知覚されたものに対して特別な意味づけをする状態	妄想知覚（一次妄想）
該当する精神科用語は？突然頭に浮かんだことをそのまま確信する状態．	妄想着想（一次妄想）
{{c2::VIPoma}}は{{c1::WDHA}}症候群を呈する。すなわち、 ・{{c1::水様性下痢}}（{{c1::watery diarrhea}}） ・{{c1::低カリウム}}血症（{{c1::hypokalemia}}） ・{{c1::胃無酸}}症（{{c1::achlorhydria}}） がみられる．	
陰囊水腫の自然軽快が見込まれるのは{{c1::2}}歳頃までである。以降は手術が考慮される。	
肺炎の重症度分類（A-DROPシステム） ・A{{c1::ge}} ・D{{c1::ehydration}} ・R{{c1::espiration}} ・O{{c1::rientation}} ・P{{c1::ressure}}	Age: 男性{{c1::70歳以上}}、女性{{c1::75歳以上}} Dehydration: BUN ≥ 21mg/dL or 脱水あり Respiration: SpO2 90%以下 Orientation: 意識障害あり Pressure: 収縮期血圧 ≤ 90mmHg
産褥熱の主な起炎菌は{{c1::大腸菌}}などのグラム{{c1::陰}}性{{c1::桿}}菌である．	
統合失調症は幻覚を認めるが，{{c1::幻聴}}や{{c1::体感幻覚}}が主であり，{{c1::幻視}}はまれである．	
せん妄とは何らかの原因による脳の機能低下であり，意識が混濁した状態である．{{c1::幻視}}を中心とした幻覚や精神運動興奮がしばしばみられる．	
徐脈になる唯一のショックは{{c1::神経原性}}ショックである．	
グラム陽性桿菌	防波堤でじり貧　＋炭疽菌 ボツリヌス　ウェルシュ菌　破傷風　　ジフテリア　リステリア
母子保健制度の概要（『母子保健法』） 妊娠の届出: 妊娠した者が→{{c1::市町村}}長に届出 母子健康手帳: {{c1::市町村}}が→妊娠の届出をした者に交付 {{c1::低体重}}児の届出: 保護者が→{{c1::市町村}}に届出 {{c1::1歳6ヵ月}}健診・{{c1::3歳児}}健診: {{c1::市町村}}が実施主体 {{c1::未熟}}児訪問指導: {{c1::市町村}}長が→医師，保健師，助産師などに行わせる {{c1::未熟}}児養育医療: {{c1::市町村}}が給付	母子保健法系は軒並み市町村
該当する精神科用語は？ 思考が途中で突然停止する．	思考途絶
該当する精神科用語は？観念奔逸とは反対に思考が不活発になり，なかなか考えが浮かばず停滞してしまう	思考制止
該当する精神科用語は？直前の反応を切り換えられないため思考が前に進まない．	保続
該当する精神科用語は？細部にまでこだわるため，要領よく思考目標に達せず，まわりくどい．	迂遠
該当する精神科用語は？他者が話した言葉をそのまま話すこと．例えば，「さっきはどちらに行っていましたか？」と問われているのに「さっきはどちらに行っていましたか？」ということ.	反響言語
救急救命士は『{{c1::救急救命士}}法』に基づき，{{c1::厚生労働大臣}}が与える資格である．	
救命救急センターを指定するのは{{c1::都道府県}}である．	
咽頭結膜熱は{{c1::アデノウイルス}}による結膜炎である．	
{{c2::急性出血性}}結膜炎は{{c1::エンテロウイルス70}}や{{c1::コクサッキーウイルスA24変異株}}による結膜炎である．	エンテロウイルス、コクサッキーウイルスまで分かれば良いと思われる
封入体結膜炎は{{c1::クラミジア}}による結膜炎である．{{c1::眼脂}}の塗沫標本で細胞内の封入体（{{c1::Prowazek}}小体）を認める．	
{{c1::アルコール精神病}}や{{c1::統合失調症}}では{{c2::嫉妬}}妄想を呈することがある．	
粗大運動として車椅子駆動は{{c1::C6}}レベルが残存しているなら可能．	
所見と診断	デルタ波を認める。 それに伴いPQ間隔短縮とwide QRSがある。 WPW症候群
WPW症候群の患者に{{c1::発作性上室頻拍}}を生じると動悸を自覚する。	房室回帰頻拍(AVRT)ともいう
WPW症候群に心房細動を合併すると、{{c1::Kent束}}を介して興奮が心室に伝導するため、{{c1::VT}}のような心電図になる。これを{{c1::偽性心室頻拍}}という。{{c1::VF}}に移行することもある。	VFに移行すれば突然死することがある。
WPW症候群+AFでVT, VFに移行した場合は、{{c1::ジソピラミド}}等の{{c1::Naチャネル阻害}}薬を用いる。ここで{{c1::ベラパミル}}や{{c1::ジギタリス}}のような{{c1::房室伝導}}を{{c1::抑制}}する薬剤は禁忌！	WPWからの順行性AVRTにはベラパミルを使う。逆行性AVRTだと禁忌。紛らわしいがwide QRSであればベラパミル禁忌でいける。
